2.b) Lista gradova i broja nekretnina koje se prodaju u gradu
+---------------------+----------------------------------------------+
|         Grad        | Broj nekretnina koje se prodaju u ovom gradu |
|       Subotica      |                      38                      |
|        Surduk       |                      1                       |
|       Suvodol       |                      1                       |
|      Svilajnac      |                      3                       |
|       Svrljig       |                      1                       |
|        Takovo       |                      2                       |
|    Tara (planina)   |                      3                       |
|       Temerin       |                      21                      |
|        Titel        |                      5                       |
|        Topola       |                      9                       |
|       Trstenik      |                      1                       |
|        Turija       |                      1                       |
|          Ub         |                      6                       |
|        Užice        |                      21                      |
|       Valjevo       |                      22                      |
|       Varvarin      |                      5                       |
|     Velika Krsna    |                      1                       |
|   Velika Moštanica  |                      2                       |
|   Veliko Gradište   |                      6                       |
|       Vencane       |                      1                       |
|       Veternik      |                      28                      |
|      Višnjicevo     |                      2                       |
|     Vladicin Han    |                      6                       |
|      Vladimirci     |                      7                       |
|        Vlaška       |                      1                       |
|      Vlasotince     |                      1                       |
|        Vojka        |                      1                       |
|     Vracevšnica     |                      1                       |
|        Vranic       |                      1                       |
|        Vranje       |                      48                      |
|    Vranjska Banja   |                      1                       |
|       Vranovo       |                      1                       |
|        Vrbas        |                      3                       |
|        Vrcin        |                      1                       |
|        Vrdnik       |                      13                      |
|    Vrnjacka Banja   |                      67                      |
|        Vršac        |                      3                       |
|        Žabalj       |                      4                       |
|        Žabari       |                      1                       |
|       Zajecar       |                      6                       |
|       Žitište       |                      4                       |
|       Zlatibor      |                     318                      |
|       Zminjak       |                      1                       |
|      Zrenjanin      |                     111                      |
|        Zvecka       |                      2                       |
+---------------------+----------------------------------------------+
