2.f) Rang lista nekretnina izgradenih 2020. godine koje se prodaju:
+----------------+------------+-------------------------------+-------------+--------------------+------------------+--------------------+------------------+------------------+-------------+----------------------------+-----------+---------------+---------+------+--------+--------+-------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
| Tip nekretnine | Tip ponude |            Lokacija           | Kvadaratura | Stanje nekretnine  | Godina izgradnje | Površina zemljišta |      Sprat       | Ukupna spratnost | Uknjiženost |        Tip grejanja        | Broj soba | Broj kupatila | Parking | Lift | Terasa | Balkon | Lodja |                                                                                 url                                                                                 |      Cena     |
|      Stan      |  Prodaja   |        Beograd, Cubura        |    127 m²   |    Novogradnja     |       2020       |                    |        4         |        5         |      Da     |         Centralno          |     3     |       2       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                       https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-cubura-40-id9802/NkqoJaWiCw7/                                       |  364 620 EUR  |
|      Kuca      |  Prodaja   |        Novi Sad, Adice        |    195 m²   |    Novogradnja     |       2020       |       763 ar       |                  |                  |      Da     |           Etažno           |     5     |       2       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                               https://www.nekretnine.rs/stambeni-objekti/kuce/fantasticna-nova-kuca-sa-prelepim-dvoristem/Nktsioltw6f/                              |  360 500 EUR  |
|      Kuca      |  Prodaja   |        Novi Sad, Adice        |    200 m²   |    Novogradnja     |       2020       |         -          |                  |                  |      Da     |  Klima, Etažno, Centralno  |     4     |               |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                    https://www.nekretnine.rs/stambeni-objekti/kuce/novi-sad-odlicna-gradnja-uredni-papiri-nedaleko-od-futoskog-puta/Nk7k_LErdQ0/                    |  360 500 EUR  |
|      Stan      |  Prodaja   |       Beograd, Voždovac       |    112 m²   |    Novogradnja     |       2020       |                    |        1         |        4         |      Da     |           Klima            |     4     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                               https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-fon-bilecka-40-112m2-350000eur/NkvW18Mbm7C/                               |  350 000 EUR  |
|      Stan      |  Prodaja   |        Beograd, Cubura        |    128 m²   |    Novogradnja     |       2020       |                    |        5         |        5         |      Ne     |         Centralno          |     3     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                         https://www.nekretnine.rs/stambeni-objekti/stanovi/128m2-t-cubura-stan/NkcvAKyRUdn/                                         |  345 600 EUR  |
|      Stan      |  Prodaja   |        Novi Sad, Centar       |    111 m²   |    Novogradnja     |       2020       |                    |        4         |        11        |      Da     |         Centralno          |     4     |       3       |    Ne   |  Da  |   Da   |   Ne   |   Ne  |                               https://www.nekretnine.rs/stambeni-objekti/stanovi/vrhunski-stan-top-raspored-111m2-centar/NkrSg1POgdI/                               |  342 990 EUR  |
|      Stan      |  Prodaja   |        Beograd, Cubura        |    128 m²   |    Novogradnja     |       2020       |                    |        4         |        5         |      Ne     |         Centralno          |     4     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                         https://www.nekretnine.rs/stambeni-objekti/stanovi/128m2-t-cubura-stan/NkA1H1tUdJI/                                         |  332 800 EUR  |
|      Stan      |  Prodaja   |    Beograd, Beograd na vodi   |    82 m²    |    Novogradnja     |       2020       |                    |        9         |        23        |      Da     |         Centralno          |     3     |       2       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                      https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-na-vodi-useljiv-sa-garaznim-mestom-uknjizen-id1540/NkMS4ZKTeaS/                     |  314 000 EUR  |
|      Kuca      |  Prodaja   |         Zlatibor, Zova        |    125 m²   |    Novogradnja     |       2020       |         -          |                  |                  |      Da     |        Etažno, Pec         |     7     |       4       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-na-zlatiboru-2km-od-centra-kompletno-renovirana-pre-godinu-ipo-dana/NkO7va1VZFs/                |  310 000 EUR  |
|      Stan      |  Prodaja   |       Beograd, Voždovac       |    136 m²   |    Novogradnja     |       2020       |                    |        5         |        5         |      Da     |           Ostalo           |     3     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                       https://www.nekretnine.rs/stambeni-objekti/stanovi/136m2-2tt-vozdovac-stan/Nk7znQifJ3Q/                                       |  308 750 EUR  |
