2.g) Top 30 nekretnina koje imaju najveci broj soba unutar nekretnine:
+----------------+------------+------------------------------+-------------+--------------------+------------------+--------------------+-------+------------------+-------------+-------------------+-----------+---------------+---------+------+--------+--------+-------+------------------------------------------------------------------------------------------------------------------------+---------------+
| Tip nekretnine | Tip ponude |           Lokacija           | Kvadaratura | Stanje nekretnine  | Godina izgradnje | Površina zemljišta | Sprat | Ukupna spratnost | Uknjiženost |    Tip grejanja   | Broj soba | Broj kupatila | Parking | Lift | Terasa | Balkon | Lodja |                                                          url                                                           |      Cena     |
|      Kuca      |  Prodaja   | Beograd, Dedinje (Beli dvor) |   1335 m²   |    Novogradnja     |                  |         -          |       |                  |      Da     |       Ostalo      |     9     |               |    Da   |  Da  |   Ne   |   Ne   |   Ne  |                  https://www.nekretnine.rs/stambeni-objekti/kuce/1335m2-94-dedinje-kuca/NkWOcRhaWM7/                   | 4 000 000 EUR |
|      Kuca      |  Prodaja   |   Sremska Mitrovica, Aleja   |    180 m²   |   Izvorno stanje   |                  |        6 ar        |       |                  |      Da     | Centralno, Etažno |     9     |       2       |    Da   |  Ne  |   Ne   |   Ne   |   Ne  |                 https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-u-sremskoj-mitrovici/NkB3Q55Km5x/                 |  120 000 EUR  |
|      Kuca      |  Prodaja   |       Beograd, Senjak        |    121 m²   |                    |                  |       3.5 ar       |       |                  |      Da     |       Etažno      |     9     |       3       |    Da   |  Ne  |   Ne   |   Ne   |   Ne  |             https://www.nekretnine.rs/stambeni-objekti/kuce/salonska-kuca-od-300m2-na-senjaku/NkOtTEK_2ih/             |  895 000 EUR  |
|      Kuca      |  Prodaja   |        Zlatibor, Zova        |    404 m²   |   Izvorno stanje   |                  |         -          |       |                  |      Da     |       Etažno      |     9     |       9       |    Da   |  Ne  |   Ne   |   Ne   |   Ne  |     https://www.nekretnine.rs/stambeni-objekti/kuce/prodajemo-kucu-sa-9-apartmana-na-zlatiboru-404m2/NkW6n5EYd7z/      |  350 000 EUR  |
|      Kuca      |  Prodaja   |     Beograd, Kaluderica      |    180 m²   | Standardna gradnja |                  |         -          |       |                  |      Da     |       Etažno      |     9     |       3       |    Da   |  Ne  |   Ne   |   Ne   |   Ne  |    https://www.nekretnine.rs/stambeni-objekti/kuce/kaluderica-karadordeva-18081m2-plac-3-78-ari-id1280/NkCB03Z4B7f/    |  220 000 EUR  |
|      Kuca      |  Prodaja   |      Beograd, Voždovac       |    300 m²   |   Izvorno stanje   |       1998       |         -          |       |                  |      Da     |       Etažno      |     9     |               |    Ne   |  Ne  |   Da   |   Ne   |   Ne  |        https://www.nekretnine.rs/stambeni-objekti/kuce/vozdovac-kumodraz-gunjak-90-300m2-210000eur/NkRHymvI-6C/        |  210 000 EUR  |
|      Kuca      |  Prodaja   |     Beograd, Zeleno Brdo     |    400 m²   | Standardna gradnja |                  |         -          |       |                  |      Ne     |       TA pec      |     9     |       5       |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |           https://www.nekretnine.rs/stambeni-objekti/kuce/zvezdara-zeleno-brdo-400m226a-id11800/Nk-R0bu1FZJ/           |  350 000 EUR  |
|      Kuca      |  Prodaja   |            Odžaci            |    300 m²   | Standardna gradnja |       1997       |      5.64 ar       |       |                  |      Da     |     Centralno     |     9     |       3       |    Da   |  Ne  |   Da   |   Da   |   Ne  |               https://www.nekretnine.rs/stambeni-objekti/kuce/odzaci-2-kuce-200m2-pi--100m2/NkHdZPGC0HF/               |  115 000 EUR  |
|      Kuca      |  Prodaja   |      Beograd, Konjarnik      |    550 m²   |    Novogradnja     |       2000       |         -          |       |                  |      Da     |       Ostalo      |     9     |               |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                 https://www.nekretnine.rs/stambeni-objekti/kuce/550m2-2t2t-konjarnik-kuca/NkVB2E__LqX/                 |  550 000 EUR  |
|      Kuca      |  Prodaja   |      Beograd, Voždovac       |    380 m²   |    Novogradnja     |                  |         -          |       |                  |      Ne     |   Klima, Etažno   |     9     |               |    Ne   |  Ne  |   Da   |   Ne   |   Ne  | https://www.nekretnine.rs/stambeni-objekti/kuce/vozdovac-beli-potok-dragise-vitosevica-90-380m2-260000eur/NkNFFYqOF8e/ |  260 000 EUR  |
